,date,hour,dayname,weekend,day_period,pm25_week_ago,pm25_two_week_ago
34,2019-07-02,10,Tuesday,FALSE,noon,19.12,32.41
35,2019-07-02,11,Tuesday,FALSE,noon,23.5,31.52
36,2019-07-02,12,Tuesday,FALSE,noon,25.96,30.94
37,2019-07-02,13,Tuesday,FALSE,noon,27.32,30.65
38,2019-07-02,14,Tuesday,FALSE,noon,29.37,30.39
39,2019-07-02,15,Tuesday,FALSE,noon,29.26,30.18
40,2019-07-02,16,Tuesday,FALSE,night,31.42,30
41,2019-07-02,17,Tuesday,FALSE,night,34,29.88
42,2019-07-02,18,Tuesday,FALSE,night,32.15,29.86
43,2019-07-02,19,Tuesday,FALSE,night,30.24,29.73
44,2019-07-02,20,Tuesday,FALSE,night,5.38,29.57
45,2019-07-02,21,Tuesday,FALSE,night,2,29.48
46,2019-07-02,22,Tuesday,FALSE,evening,4,29.38
47,2019-07-02,23,Tuesday,FALSE,evening,3.42,29.42
48,2019-07-03,0,Wednesday,FALSE,evening,1.85,29.69
49,2019-07-03,1,Wednesday,FALSE,evening,2.42,30.44
50,2019-07-03,2,Wednesday,FALSE,evening,3.33,31.7
51,2019-07-03,3,Wednesday,FALSE,evening,3.79,33.3
52,2019-07-03,4,Wednesday,FALSE,morning,3.06,34.85
53,2019-07-03,5,Wednesday,FALSE,morning,4.5,35.56
54,2019-07-03,6,Wednesday,FALSE,morning,4.68,35.64
55,2019-07-03,7,Wednesday,FALSE,morning,4.28,35.36
56,2019-07-03,8,Wednesday,FALSE,morning,4.5,34.74
57,2019-07-03,9,Wednesday,FALSE,morning,5.5,33.93
58,2019-07-03,10,Wednesday,FALSE,noon,6.75,32.58
59,2019-07-03,11,Wednesday,FALSE,noon,9,31.83
60,2019-07-03,12,Wednesday,FALSE,noon,10.59,31.18
61,2019-07-03,13,Wednesday,FALSE,noon,14.19,30.79
62,2019-07-03,14,Wednesday,FALSE,noon,12.75,30.45
63,2019-07-03,15,Wednesday,FALSE,noon,13.74,30.25
64,2019-07-03,16,Wednesday,FALSE,night,17.64,30.16
65,2019-07-03,17,Wednesday,FALSE,night,19.33,30.12
66,2019-07-03,18,Wednesday,FALSE,night,22.12,29.98
67,2019-07-03,19,Wednesday,FALSE,night,23.06,29.89
68,2019-07-03,20,Wednesday,FALSE,night,22.69,29.89
69,2019-07-03,21,Wednesday,FALSE,night,19.24,29.78
70,2019-07-03,22,Wednesday,FALSE,evening,18.81,29.76
71,2019-07-03,23,Wednesday,FALSE,evening,19.06,29.78
72,2019-07-04,0,Thursday,FALSE,evening,18.58,30.25
73,2019-07-04,1,Thursday,FALSE,evening,15.27,31.33
74,2019-07-04,2,Thursday,FALSE,evening,13.05,32.44
75,2019-07-04,3,Thursday,FALSE,evening,10.8,34.03
76,2019-07-04,4,Thursday,FALSE,morning,12.55,33.76
77,2019-07-04,5,Thursday,FALSE,morning,10.67,35.63
78,2019-07-04,6,Thursday,FALSE,morning,10.53,36.45
79,2019-07-04,7,Thursday,FALSE,morning,11.27,36.47
80,2019-07-04,8,Thursday,FALSE,morning,15.38,35.4
81,2019-07-04,9,Thursday,FALSE,morning,16.6,33.01
82,2019-07-04,10,Thursday,FALSE,noon,20.09,31.54
83,2019-07-04,11,Thursday,FALSE,noon,22.24,31.08
84,2019-07-04,12,Thursday,FALSE,noon,24.75,30.83
85,2019-07-04,13,Thursday,FALSE,noon,25.67,30.41
86,2019-07-04,14,Thursday,FALSE,noon,27.38,30.03
87,2019-07-04,15,Thursday,FALSE,noon,27.81,29.96
88,2019-07-04,16,Thursday,FALSE,night,30.1,29.72
89,2019-07-04,17,Thursday,FALSE,night,29.33,29.6
90,2019-07-04,18,Thursday,FALSE,night,30.79,29.38
91,2019-07-04,19,Thursday,FALSE,night,34.48,29.08
92,2019-07-04,20,Thursday,FALSE,night,33.76,28.8
93,2019-07-04,21,Thursday,FALSE,night,32.79,28.72
94,2019-07-04,22,Thursday,FALSE,evening,29.91,28.46
95,2019-07-04,23,Thursday,FALSE,evening,27.5,28.51
96,2019-07-05,0,Friday,FALSE,evening,25.75,29.03
97,2019-07-05,1,Friday,FALSE,evening,21.59,29.85
98,2019-07-05,2,Friday,FALSE,evening,19.63,30.96
99,2019-07-05,3,Friday,FALSE,evening,17.8,32.41
100,2019-07-05,4,Friday,FALSE,morning,17.06,33.54
101,2019-07-05,5,Friday,FALSE,morning,16,34.18
102,2019-07-05,6,Friday,FALSE,morning,15.08,35.33
103,2019-07-05,7,Friday,FALSE,morning,14.93,34.64
104,2019-07-05,8,Friday,FALSE,morning,12.38,34.47
105,2019-07-05,9,Friday,FALSE,morning,12,33.53
106,2019-07-05,10,Friday,FALSE,noon,14.13,32.33
107,2019-07-05,11,Friday,FALSE,noon,17.12,31.02
108,2019-07-05,12,Friday,FALSE,noon,21,30.64
109,2019-07-05,13,Friday,FALSE,noon,23.16,29.81
110,2019-07-05,14,Friday,FALSE,noon,25.43,29.46
111,2019-07-05,15,Friday,FALSE,noon,27.17,29.24
112,2019-07-05,16,Friday,FALSE,night,30.14,29.02
113,2019-07-05,17,Friday,FALSE,night,28.67,28.81
114,2019-07-05,18,Friday,FALSE,night,29.28,28.86
115,2019-07-05,19,Friday,FALSE,night,30.38,28.61
116,2019-07-05,20,Friday,FALSE,night,30.72,28.46
117,2019-07-05,21,Friday,FALSE,night,31.38,28.47
118,2019-07-05,22,Friday,FALSE,evening,28.04,28.56
119,2019-07-05,23,Friday,FALSE,evening,29.54,28.19
120,2019-07-06,0,Saturday,TRUE,evening,25.22,27.31
121,2019-07-06,1,Saturday,TRUE,evening,18.6,28.14
122,2019-07-06,2,Saturday,TRUE,evening,13.6,28.47
123,2019-07-06,3,Saturday,TRUE,evening,14.36,29.33
124,2019-07-06,4,Saturday,TRUE,morning,12.21,30.03
125,2019-07-06,5,Saturday,TRUE,morning,12.86,30.28
126,2019-07-06,6,Saturday,TRUE,morning,11.19,31.3
127,2019-07-06,7,Saturday,TRUE,morning,12.6,33.09
128,2019-07-06,8,Saturday,TRUE,morning,14.39,33.08
129,2019-07-06,9,Saturday,TRUE,morning,14,32.94
130,2019-07-06,10,Saturday,TRUE,noon,15.5,32.37
131,2019-07-06,11,Saturday,TRUE,noon,21.33,31.42
132,2019-07-06,12,Saturday,TRUE,noon,22.5,30.77
133,2019-07-06,13,Saturday,TRUE,noon,25.75,30.31
134,2019-07-06,14,Saturday,TRUE,noon,31,29.86
135,2019-07-06,15,Saturday,TRUE,noon,29.5,29.5
136,2019-07-06,16,Saturday,TRUE,night,27,29.27
137,2019-07-06,17,Saturday,TRUE,night,25.67,29.21
138,2019-07-06,18,Saturday,TRUE,night,26,29.13
139,2019-07-06,19,Saturday,TRUE,night,26,28.88
140,2019-07-06,20,Saturday,TRUE,night,27.46,28.77
141,2019-07-06,21,Saturday,TRUE,night,25.65,28.68
142,2019-07-06,22,Saturday,TRUE,evening,15.17,28.4
143,2019-07-06,23,Saturday,TRUE,evening,8.74,28.4
144,2019-07-07,0,Sunday,TRUE,evening,13.75,29
145,2019-07-07,1,Sunday,TRUE,evening,16.62,29.79
146,2019-07-07,2,Sunday,TRUE,evening,16.88,30.65
147,2019-07-07,3,Sunday,TRUE,evening,15.45,32.16
148,2019-07-07,4,Sunday,TRUE,morning,14.48,33.25
149,2019-07-07,5,Sunday,TRUE,morning,14.64,33.33
150,2019-07-07,6,Sunday,TRUE,morning,13.39,34.49
151,2019-07-07,7,Sunday,TRUE,morning,14.1,34.14
152,2019-07-07,8,Sunday,TRUE,morning,13.18,34.27
153,2019-07-07,9,Sunday,TRUE,morning,12.5,33.67
154,2019-07-07,10,Sunday,TRUE,noon,14.58,32.63
155,2019-07-07,11,Sunday,TRUE,noon,17.88,31.51
156,2019-07-07,12,Sunday,TRUE,noon,23,30.96
157,2019-07-07,13,Sunday,TRUE,noon,24.76,30.51
158,2019-07-07,14,Sunday,TRUE,noon,25.06,30.18
159,2019-07-07,15,Sunday,TRUE,noon,25,30.01
160,2019-07-07,16,Sunday,TRUE,night,25.21,29.77
161,2019-07-07,17,Sunday,TRUE,night,26.33,29.57
162,2019-07-07,18,Sunday,TRUE,night,27.6,29.18
163,2019-07-07,19,Sunday,TRUE,night,28,28.96
164,2019-07-07,20,Sunday,TRUE,night,27,28.86
165,2019-07-07,21,Sunday,TRUE,night,28.15,28.73
166,2019-07-07,22,Sunday,TRUE,evening,28.71,28.72
167,2019-07-07,23,Sunday,TRUE,evening,29.84,28.71
