customer_id	customer_age	arpu	model	gender
1014125846256571022				
1014133773538720624				
1014322736025890470	51.0	67.5	1609	female
1014338615971314504				
1014882843675357621	48.0	45.0	V7+	female
1014972902579230817	54.0	85.39	A1601	female
1014994710114739594	31.0	147.65	SM-J120G DS	male
1015254378177579192				
1015533254843753331				
1015541715823107007	29.0	165.85	P20	female
1015817235595166920	-1.0	99.8	UNKNOWN	
1015902354426378662	55.0	148.0	P9	
1016098969192274717	24.0	101.59	R9s	female
1016461181741523725	54.0	50.85	SM-J320G DS	male
1016712431024322275	63.0	85.39	SM-A720F DS	male
1016970513538937329				
1017290321607300877				
1018260115418107120	17.0	64.0	Redmi 5 plus	male
1018268778857924159	29.0	109.01	iPhone 7 (A1778)	female
1018440346122653992				
1019351728721538856	62.0	40.28	SM-A105G DS	male
1019603306323428494	4.0	2.0	TM11Q	
101967185381870438	46.0	231.19	iPhone 8 Plus (A1897)	female
1020096191835638064	32.0	115.24	iPhone 6S Plus (A1687)	male
1020111052018286904				
1020235302139297958	45.0	80.39	ZenFone Max ZC550KL	male
1020243501741812665	48.0	96.17	V5s	female
1020573908331462682				
102071775717319488	24.0	21.63	B6	male
1020897969074150121				
102093406103830173	49.0	50.45	A37fw	male
1021093556883439192	34.0	68.37	SM-J600G DS	male
1021263592215912189				
1021299670090318072	-1.0	138.1	SM-J400F DS	
1021417249894457741	38.0	80.0	A1601	female
1021850488693865083	44.0	80.0	Y3II	female
1021871028717317366				
1022080918325383445	40.0	50.9	V9	female
1022408993238568391				
1022583908195959063	19.0	73.13	X9	female
1022664731215330163	39.0	84.75	Apple iPhone XR	female
1022700276163993699				
1023176980591110920	67.0	238.68	iPhone 8 (A1905)	male
1023402118998140599	4.0	2.0	TM11Q	
1024054858459795721	22.0	55.0	nova 3i	female
1024060356017936776				
1024298396043179344	24.0	81.05	iPhone 7 (A1660)	male
1024380684347059164	4.0	2.0	TM11Q	
1024457730418386329				
1024529857649748579	65.0	280.77	iPhone 6S Plus (A1687)	male
1024588717970491954	21.0	27.07	SM-J415F DS	male
1024643852145731513	51.0	98.48	GR3	female
1024908526868502423	37.0	86.27	SM-J330G DS	male
102490927813495245	47.0	70.27	P30 Pro	female
1025249185454605406	46.0	80.27	iPhone SE (A1723)	
102525083792137216	62.0	85.17	SM-J730G DS	female
1025442643178895617	32.0	29.2	R11t	male
10258084199331447	35.0	55.33	Oppo F11	female
1025813157551060995	-1.0	72.17	SM-J106B DS	
102587354910073298				
1025960856417679919				
1026049444937543381				
10260880631433629	49.0	53.36	Samsung Galaxy S9	female
102631950866081879	40.0	98.02	iPhone 8 (A1905)	female
1026660881016222451	57.0	91.37	ZenFone 6 A601CG	male
1026745551989885856				
1026990181305076265	29.0	271.27	iPhone 7 Plus (A1784)	male
1027034654801852390	52.0	80.0	SM-A910F DS	female
1027118046393678933				
1027575370151501830	50.0	98.35	Samsung Galaxy A20	female
1027998666056240716				
1028104308323994975				
1028627850748115528	20.0	38.03	R831L	female
1028752067924494505				
1029426547330992184	37.0	103.04	Xiaomi Mi 9 SE	male
1029849267575195848				
1030236540332919110	15.0	141.17	iPhone 6 (A1586)	male
1030325007577212893	49.0	79.64	Xiaomi Mi 9T Pro	male
1030602573632004034	23.0	55.93	Y6	male
1030806173762441565				
1031488292086646913	58.0	113.04	SM-A710FD	male
1031843555959034901	42.0	117.84	iPhone XS MAX (A2104)	male
1032639541868970735				
1032768652784195875				
1033073280333135815	23.0	37.42	Y55s	male
1033566579722698687	47.0	60.85	Nova 2i	female
1033575375815724375	31.0	0.3	nova 3i	female
1033770002591584905				
1033818278842923407	41.0	94.06	Elite x3	male
1033824875912692673	31.0	148.89	SM-G973F DS	male
1034244307586381637	-1.0	134.97	iPhone 7 (A1778)	
1034282520592127810				
1034509142220881276	49.0	234.23	iPhone XR (A2105)	male
1034681010186265809	19.0	72.73	Redmi NOTE 5A	male
103477366887165830	-1.0	5.2	UNKNOWN	
1034835087293365302				
1035493205127940896	56.0	870.43	iPhone XS MAX (A2101)	
1035682810758526758				
1035688308316667813				
1037050981017327690				
1037306120436015072	43.0	84.26	SM-A300F	female
1037394079248687145	33.0	71.22	POCOPHONE F1	male
1037501562870390031	63.0	50.0	SM-A105G DS	male
1038660166531552971	40.0	45.07	CPH1853	male
1038911213726073514				
1039082618901186490	56.0	242.33	K50-t3s	male
1039339296810628143	58.0	80.0	Huawei P30	male
1039348742405406061				
1039356040816426960				
1039378989861941196	36.0	71.24	Xiaomi Mi 9T	male
1039378989861941196				
1039495981741177292				
1039577621992009325	37.0	98.07	iPhone 7 Plus (A1784)	male
103983752646016788	56.0	81.41	iPhone X (A1865)	female
1040016145229841683	34.0	76.33	Redmi 5 plus	male
1040032200683594601	57.0	25.83	Y81i	male
1040220370732071481	24.0	29.67	Y336	female
1040612899182877257	14.0	38.23	UNKNOWN	male
1040718454292211851	23.0	9.17	A2	male
1040934633542883089				
1041754495423181212				
1041762192004578689				
1042895608642718778	22.0	104.59	Nokia 2.2	male
104294906707033432		80.0	Sony Xperia XZ2 Premium	male
104332344977078929	25.0	64.42	Mate 20	female
1043589993191440611	20.0	47.95	iPhone 5S (A1453)	female
1043602774469825453				
1044219974303138367	-1.0	80.7	Redmi 7	
1044219974303138367	43.0	101.65	Oppo A7	male
1045497135171216254	21.0	82.53	iPhone 6 (A1549)	male
1046105241359438081	21.0	56.47	iPhone 6	male
1046588379350834844	53.0	49.6	HONOR Bee4G	female
104683100437500920	37.0	15.82	iPhone 5	male
1047261749442579831	30.0	3.0	Y7	male
1047593864449596910	23.0	112.27		female
1047606375415341323	61.0	83.16	iPhone 6S Plus (A1687)	male
1047675828680343287	30.0	81.78	Xperia XZs	male
1047954557129493566				
1048417669389516611	43.0	63.6	CPH1801	female
1048628842912990038	27.0	0.0	SM-G532G DS	male
1048682092073472883				
1048827166895896420				
1048910613062767489	38.0	87.18	Asus Zenfone Max Pro (M2) ZB631KL	female
104906594528550183	-1.0	281.59	R9s	
1049160369670097675				
1049690052492334377	34.0	157.01	Oppo F11	male
1049698129020760885	-1.0	0.37	UNKNOWN	
1049925454553722828	59.0	42.75	CPH1819	male
1050155427693439405				
1050195687392786963	48.0	290.02	iPad 5 (A1823)	male
1050253897159413813				
1050258487673099529	-1.0	80.2	iPhone 6 (A1586)	
1050417410310275083				
1050666798765025551	-1.0	0.35	UNKNOWN	
1050669509713994174	25.0	60.39	iPhone 6 Plus (A1524)	male
1050714142258821421	24.0	55.0	iPhone 6 (A1586)	male
1050814652061558413				
1051048467489381615				
1051605359093022598				
1051721185712596666	35.0	106.35	SM-A105G DS	male
1051790647264564424	-1.0	18.08	MOTO M Dual	
1052052299018570594				
1052397216440470106				
1052437076315322710	49.0	8.82	Y6 II	male
1052611148130059606	26.0	110.03	CPH1853	male
1053059115704933436	34.0	263.86	iPhone 6S Plus (A1687)	female
1053093425707103517	34.0	55.69	SM-J200GU DS	male
1053099696898131277				
1053208149686807902	19.0	51.12	iPhone 6	female
1053358766653396330				
1053499140718729412	-1.0	0.17	UNKNOWN	
1053746560360791963				
1053833395716031620	28.0	14.63	SM-G5510	male
1054007230693151302				
10540653380204560	45.0	86.17	iPhone 7 (A1778)	male
1054288249008858729	59.0	50.89	UNKNOWN	female
1054351350401037925	46.0	47.66	Mate 9	female
1054626232283503740	40.0	80.57	A37f	female
1054937203763582919	21.0	50.3	Oppo Find X	female
1055392341995554713	43.0	50.0	V3Max	female
1055476995541360731	30.0	71.81	Nokia 4.2	female
1055485009760749294	30.0	33.43	F7	female
1055693104536720225	22.0	28.07	MediaPad T3 7	female
105588788170094578				
1057528470108185825	51.0	32.27	SM-A910F DS	male
1058002283957970442	34.0	51.77	nova 3i	male
1058134423523499834	42.0	204.13	iPhone XS MAX (A2101)	male
1058459614747576223	56.0	48.06	N7100	female
1058592849570083576				
1058694959489189259	40.0	88.0	R7sf	
1058817801159128977	52.0	67.96	A1601	male
1058822932559261655				
1058964813268149472	23.0	41.82	SM-G7102	female
105930987739200019				
1059530549827421661	52.0	47.15	iPhone 7 (A1778)	female
1059779431924718599				
1060048382280924252	20.0	94.07	F9 Pro	female
1060453536047338826	81.0	146.71	SM-A750GN DS	male
106053470136068061	23.0	127.44	P10	male
1060778963745470574				
1061303734263642189	33.0	84.48	Xiaomi Redmi Note 7	female
1061303734263642189				
1061582153359819706		48.57	Xiaomi Mi 8 Pro	female
1061612386271414181				
1061763221553876856	39.0	26.73	SM-A520F DS	female
1061777927910726770	46.0	98.02	Nova 2i	male
1062060491261922102				
1062149501798144606	-1.0	0.0	iPhone 7 (A1778)	
1062238813667831254				
1062842621164258560	34.0	52.6	SM-J600G DS	male
1063459378424523128	33.0	141.95	UNKNOWN	female
1063776910767791226				
1063776910767791226	35.0	45.88	Honor 20	female
1064000315587463612				
1064007850256782753				
1064440901090481779	39.0	116.3	Xiaomi Mi 9 SE	male
1064635383161894117				
1064972211783508255				
1065104165718270064	19.0	32.67	A3s	female
1065726353144638917	32.0	29.83	SM-G955FD	female
1066116273662257519				
1066994959247477533	47.0	45.39	Samsung Galaxy Note10	female
1067085148394898483	-1.0	0.0	UNKNOWN	
1067091745464667749	-1.0	0.0	UNKNOWN	
1067364745875172734	-1.0	8.0	UNKNOWN	
1067533804933923360	-1.0	0.0	iPhone 6 Plus (A1524)	
1067845022899362911				
1067863628811787639	50.0	163.21	iPhone 6 (A1586)	male
1068086803488009479	-1.0	0.0	UNKNOWN	
1068193777536799713				
106878157559924174				
1069060970790415200	-1.0	0.0	UNKNOWN	
1069681154781330609	36.0	69.33		female
1069868141077170359				
1070060426860269774	-1.0	0.0	UNKNOWN	
1070064824906782618	-1.0	0.03	UNKNOWN	
1070306589058218575	38.0	40.0	iPad Air (A1475)	
1070327769918229589				
1070460884538429763				
1070694204157011607	47.0	27.68	A3s	male
107099164669764853	28.0	155.1	A37fw	male
107111219615545786	-1.0	90.23	iPhone 7 (A1778)	
1071305488684773469				
1071339275655092994	59.0	353.57	SM-J330G DS	male
1071697728426135013				
1072485008504194790				
1072504062655666033				
1072715349462547927	26.0	50.3	Y91i	female
1073530754218692629	56.0	153.08	iPhone 6 (A1586)	male
1073847144907071558	-1.0	0.0	UNKNOWN	
1073850443441956191	-1.0	0.0	UNKNOWN	
1074124543364089387	-1.0	8.0	UNKNOWN	
1074127841898974020	-1.0	8.0	UNKNOWN	
1074497274072117856	54.0	31.13	SM-G935FD	male
1075095412131610475	-1.0	8.0	UNKNOWN	
1075098802644147952				
1075550372508841514	28.0	64.33	SM-G930FD	male
1075945944898733829	26.0	130.95	iPhone 6 Plus (A1524)	female
107603414302316878	42.0	31.98	SM-J700F DS	male
1076059435995889551	37.0	17.04	SM-A105G DS	female
1076316083111979836				
1076379306058330824	27.0	48.33	iPhone 5S (A1533)	male
10764092817270399				
1076683297875050434	39.0	357.1	iPhone 6 (A1586)	male
1076908258972679218	57.0	79.66	Xiaomi Black Shark 2 Pro	male
1077412256829651895				
1077513253951799485	18.0	39.23	iPhone 7 Plus (A1661)	
1077691144253369187				
1077709252885459193	33.0	55.73	Wiko View2 Pro	male
1077822148012200750	71.0	10.6	SM-J700F DS	male
1078758023155200478	20.0	43.37	iPhone 6S (A1688)	male
1079827379386160388	29.0	163.0	Oppo F11	female
1080041782345501552	47.0	38.06	Nova 2i	male
108008236597913055	23.0	101.67	A3s	female
1080200815355458702	54.0	83.01	Samsung Galaxy Note10+	female
108026549429646886				
1080405899345422185				
1080466768434279784	38.0	158.0	E5577	male
1080487412904676497				
1081314491899441240	-1.0	98.02	E5577	male
1081569771698521541				
1081700342082989271	70.0	53.02	SM-G610F DS	male
1082118011257185449				
1082561706364354841	46.0	112.09	Nokia 1 Plus	female
1083296266890242033	28.0	123.37	nova 3i	female
1083359325077211509	62.0	36.77	ZenFone 5 A501CG	male
1083562261945837626	68.0	102.89	iPhone 8 (A1905)	male
1083831580111350863	59.0	165.34	iPhone 6 (A1586)	male
1083968378724669827				
1084183781039441629	51.0	112.33	SM-G935FD	female
108447584332918901				
1084741759940177175				
1085123232725633459	34.0	118.6	iPhone X (A1901)	female
1085428920173784841	-1.0	45.16	UNKNOWN	
1085787469992833427	26.0	76.53	Xiaomi Mi A3	male
1085862338471847087	27.0	23.81	Y91i	male
1086132115644253071	35.0	141.42	nova 3i	male
108692412463314743				
1087355320686469403	47.0	169.71	nova 3	female
1087604969960585511				
1087975996644384468	25.0	100.71	404SC	male
1088111576990065373	35.0	80.09	SM-G925F	female
1088127023663070756	61.0	25.2	Nova 2i	female
1088151876373149952	40.0	153.41	iPhone SE (A1723)	male
1088524690340285883	66.0	85.0	N7100	female
1088633898997148561	18.0	62.78	iPhone 5	female
1088749851987481718	40.0	32.52	P30	male
108880973223222772	35.0	312.38	SM-G965F DS	female
1088851776897310763				
1089208567275390771	28.0	10.15	Nova 2i	male
1089211000255434497	69.0	85.57	SM-E700H DS	male
1089328317022940042	31.0	81.79	iPhone 6 Plus (A1524)	female
1089424749036876454	33.0	85.49	iPhone 5S (A1530)	female
1089458925609342161	29.0	85.71	Nova 2i	male
1089490672538093120	29.0	40.07	N7100	female
1089642989748696250	34.0	84.99	SM-N910C	male
1089745617996084444				
1090188657867621507	43.0	104.02	Redmi NOTE 4	female
1090306317622404956	50.0	43.71	Y91i	female
1090598131034125959	34.0	37.5	V7+	female
1090604945312445732	34.0	40.1	iPhone 6 (A1586)	female
1090628630544231050	63.0	113.57	SM-A105G DS	male
1091062291949719565	34.0	96.41		female
1091581094429557368	24.0	36.68	SM-J510GN DS	male
1091582193941185579	32.0	83.95	Huawei Nova 4e	male
1092088128001388432	53.0	35.09	A1601	male
1092549624519682557		80.0	Samsung Galaxy A70	male
109263118372854540	22.0	47.55	iPhone 7 Plus (A1784)	male
1092693691044814467				
1093293547285812549	37.0	71.55		female
1093340439480871511	39.0	109.99	F9 Pro	male
1093364208301524666				
10938483274227661	59.0	57.1	Y69	female
1094034826943044173	52.0	99.1	iPhone 7 Plus (A1784)	male
1095130790293368079	19.0	122.4	A3s	male
1095489736517824611	66.0	48.83	P9 Lite	male
1095647478987541257				
1095798686854306858	30.0	81.05	SM-G920F	male
1095855347849599015	27.0	80.74		male
1095930411873183967	32.0	201.73	P20 Pro	female
1096046980940842929				
1096370872251466925				
1096638138964370143				
1096677833076365019				
1096691141983272305	61.0	46.12	SM-N960F DS	male
1096751822537220300				
1096929867943038541	36.0	110.13	iPhone XS MAX (A2101)	male
1096943350600018388	29.0	99.32	iPhone 8 Plus (A1897)	female
1096991871828250454		95.66	Xiaomi Mi 9T	female
1097080719638454878				
1097329359848118061	40.0	85.2	1609	male
1097380451824563366	23.0	51.97	A706	male
1097475863757024491	39.0	85.94	iPhone 5S (A1530)	female
1098324585229579400				
1098378808382789729	22.0	34.68	A33f	male
1098883846183316934	20.0	42.6	UNKNOWN	female
1098949942531352894	48.0	88.24	SM-A305F DS	female
1098955682087036307	24.0	58.41	Y7	male
1098984161006570802				
109911534967296672	44.0	101.92	iPhone 7 Plus (A1784)	female
1099727101002591591				
10998654689335197	33.0	81.67	HTC Desire 12+	male
1100036366048827964				
1100149261507015120				
1100334445862489354	46.0	31.98	Nokia 1 DS	
1100343578634867961	34.0	83.57	iPhone 6 (A1586)	male
110036768738500918				
1100795712236470902	50.0	107.23	SM-A505F DS	female
1100904874205933602	19.0	75.0	HONOR 10	male
1100968588018181722	38.0	53.02	SM-J500G DS	female
110193776352523196				
1102244112684985833				
1102386552216555742	-1.0	5.0	UNKNOWN	
1102494682118314967	34.0	99.35	SM-G935FD	male
1102623491684760715	61.0	92.45	SM-N9208	male
1102651933371083145				
1102664027998993466				
1102934435823646011				
1103472960784764314	24.0	193.0	SM-N920I	male
1103644792371168453				
1103649190417681297				
1103764868951780601	-1.0	8.0	UNKNOWN	
1103816079583100050	17.0	99.92	iPhone 6 Plus (A1522)	male
11038603443327900	34.0	64.12	Redmi 4X	male
1103961213587403859				
110415305131383427				
1104338636843177412	41.0	22.15	One Touch PIXI 4 5045T	male
1104612362603804908				
1104615661138689541				
1104751729530181957	24.0	88.46	iPhone X (A1901)	male
1104757754951686915				
1105189927961330313				
1105428476991966031	24.0	0.0	iPhone 7 Plus (A1784)	female
1105501064017997054				
1105600982567620670				
1105662407894938708				
1105847520016778693	50.0	45.42	F1+	female
1106042087196965075	34.0	62.48	A3600-d	male
1106189384031184887				
1106261090916442588				
1106360720942248392				
1106830427753924243	38.0	116.35	iPhone 6S Plus (A1687)	female
1107023422369622165				
1107161310411058654	60.0	55.93	SM-G532G DS	female
1107262452802218463	26.0	58.33	A3s	male
1107276223776571467	-1.0	12.05	UNKNOWN	
1107426844583736542				
1107432342141877597				
1107936516961591109	-1.0	0.0	SM-A520F DS	
1108141017170880962				
1108400547766148114	56.0	39.93	SM-N910C	female
1108444209299724807	63.0	80.19	SM-N9005	male
1108468791900026659	21.0	74.45	Sony Xperia XZ2 Premium	male
1108686458051527655	30.0	123.97	Xperia Z C6603	female
1108928276450048206	44.0	41.98	Huawei Mate 20	male
1108988740636042418				
1109212468606004614	-1.0	80.33	iPhone 6 Plus (A1524)	
1109380676746689039				
1109532836149346306				
1109757209308709005	25.0	0.31	SM-J700F DS	female
1109972803543102038				
1109994253389187054				
1110027145070478665				
1110037704241234422				
1110635980251950262				
1111378221489712644	58.0	80.0	V3Max	female
1111670327299978350	34.0	99.36	Huawei Mate 20 Pro	male
1112698212023959599	40.0	98.85	SM-A750GN DS	
1113110664195140487	35.0	68.7	Honor 8C	female
1113353709859516482	-1.0	7.2	UNKNOWN	
1113354874810273316	32.0	65.0	F5	female
1113520538552381333	-1.0	8.0	UNKNOWN	
1113899973239870336				
1113901109302380623				
1113946038493234935	36.0	44.48	215 Dual	male
1114077583956226687				
1114248644544974066				
1114340570437917838	36.0	70.79	CPH1853	female
1114341669949546049	38.0	71.82	JKM-LX2	male
1114454252312673126	37.0	0.0	SM-G935FD	female
1114638639905097751				
1114780155188288936	38.0	54.41	Y31L	male
1115425544204088963	56.0	0.0	X2-02	male
1116550002559426241				
1116601606938107613	43.0	164.7	iPhone 8 (A1905)	male
111665818300343027	-1.0	8.0	UNKNOWN	
1116681162614916760	39.0	84.03		female
111722594328854830	72.0	148.52	Y9 2019	male
1117226215992569468	35.0	49.13	SM-A500F	male
1117251981899458774				
1117772893198107621				
1118196601196374093	60.0	81.98	SM-A520F DS	male
1118391603452539817	31.0	188.56	PORSCHE DESII Mate 20 RS	male
111856577172979465	30.0	81.95	Apple iPhone XS Max	male
111883426934183254	29.0	80.0		female
111888924492324309				
1118963961353735621				
1119242625452585906	45.0	112.79	SM-G570Y DS	female
1119243724964214117	36.0	55.25	SM-A710FD	male
1119969268321232898	51.0	115.36	SM-G610F DS	female
1120072220777490760				
112122462752207754	18.0	34.93	SM-G920F	male
1121437808711564547	42.0	104.58		male
1121811334217703972	14.0	40.5	Redmi 4A	male
1121814530772579603	40.0	98.02	A3s	male
1121904965403857113	44.0	186.6	UNKNOWN	male
1122070917957289276	54.0	78.19	HONOR 8X	male
1122230952453355498	35.0	105.23	iPhone 7 (A1778)	female
1122455014861965363				
1122812887330805966	-1.0	98.0	UC20	
1122836190130370654				
1123070964281101454	59.0	16.85	iPhone SE (A1723)	male
1123336203569371253	30.0	96.81	Mate 10	female
1123666926099267123				
1123673523169036389				
1124458147209677322	-1.0	147.1	iPhone 6S Plus (A1687)	
1124823947594459153				
112550030889869061	55.0	150.79	iPhone 5C (A1529)	female
1125611144424035286	19.0	148.21	iPhone 5S (A1453)	female
1125613343447291708	35.0	148.77	V11i	female
1125638284710964666				
1125655942634322372				
1125684212530596802	57.0	82.08	HONOR 10	female
1125728716599052496	50.0	28.32	S101	male
112601550399815837	-1.0	8.0	UNKNOWN	
1126305608722677665	24.0	0.0	iPhone 5	female
1126527537949245414	20.0	68.67	SM-N9208	male
112662177648199928	44.0	80.13	N7000	female
1127250508587744140	39.0	45.66	A37f	male
1127622204687688473				
1127887028110743966	52.0	98.73	iPhone 6S (A1688)	male
112806548191062452				
1128830944324314810	27.0	117.26	iPhone 6S (A1688)	female
1129470556093509389				
1129658122996395543				
1129673166646682140				
1129845065685533213				
11301240154038342	20.0	54.6	M1804C3CG	female
1130287461077753794	50.0	35.37	A516	female
113097987606932717	57.0	85.66	1609	female
1131378726430867756	48.0	81.32	iPhone 5	female
1131605373997246447	55.0	43.7	SM-J415F DS	male
1131740007604794086	59.0	0.0	SM-J320G DS	
1131914698384266534	-1.0	8.0	UNKNOWN	
1132276624333847906	47.0	99.58	SM-N950F DS	female
1132396034789806156	32.0	105.06	Asus Zenfone Max Pro (M2) ZB631KL	female
1132557499392003614				
1132589146138377807	38.0	157.69	F9 Pro	female
1133687493914702491	60.0	38.21	SM-J200GU DS	female
1133843869771874207				
113404864647072810				
1134102106671479231				
1134201897728831453				
113436809144315703	27.0	90.17	Xiaomi Black Shark 2 Pro	female
1134620189803473828	17.0	111.57	Redmi NOTE 5A	male
1134841185716999230	36.0	89.67	SM-P901	male
1134891076361266036	-1.0	25.0	UNKNOWN	
1134911113950361495	26.0	50.0	iPhone 6 Plus (A1524)	male
113570981947488875	42.0	176.77	SM-J510GN DS	male
113579016237106191	-1.0	8.0	UNKNOWN	
1136081547856280265				
1136086605484915864	28.0	40.33	iPhone X (A1901)	male
1136295130202684233	36.0	141.92	iPhone 8 (A1905)	male
113690096273712627	44.0	110.08	SM-N9208	female
113717320050085945	-1.0	0.0	UNKNOWN	
113726116143111633	-1.0	99.8	UNKNOWN	
1137347017927468619	44.0	96.82	SM-C900F DS	male
11374737153887288	57.0	24.4	SM-G960F DS	female
11379135200400132	28.0	78.33	iPhone 7 (A1778)	female
1138020149170513408				
1138251817136034074	39.0	30.07	CPH1701	female
1138399255859404418				
1138409832166589769	20.0	60.17	Xiaomi Mi 9 SE	male
113864367729122905				
1138780399069666702				
1139242261950294728	43.0	86.73	Samsung Galaxy M10	female
1139349463019382138	27.0	82.12		female
1139787373350741016				
1139867423854337178	22.0	50.93	iPhone 6 (A1586)	male
1140080062675140616	26.0	89.33	DLI-L42	female
1140471528205435339	29.0	165.12	SM-A505F DS	male
1140683480650310572				
1140686840927319653	47.0	89.48	UNKNOWN	female
1141652001314095112	39.0	61.68	SM-J260G DS	female
1141669041402609925	19.0	6.0	H1	male
1141685227437185804				
1142099912061162442	21.0	259.17	P9	male
1142170386326747962	31.0	132.98	Shark	male
1142763279509963703				
1142957764327123948	21.0	52.6	iPhone 7 Plus (A1661)	female
1143070542522036747	38.0	27.53	Y21	male
1143118326013413768	30.0	11.72	P8 Lite	female
1143644925923253356	51.0	75.9	ZenFone 2 Laser ZE500KL	female
1143922652278138845				
1143962060268056755	56.0	79.23	1714	male
1144214241303162970				
1144338569335814372	31.0	47.76	Y93	male
114445025090442544				
1144935726595573423	29.0	64.92	iPhone 5S (A1530)	male
1145004599965130150				
1145189319251509795	43.0	20.0	SM-J700F DS	male
1145244949959315397	59.0	98.0	Oppo Find X	male
1145506046380065270	31.0	41.0	Y17	male
1145711331597760588	19.0	87.84	iPhone 7 Plus (A1784)	male
1145806442985173297				
1145970095419496073	45.0	103.7	A3s	male
114597878426259608	34.0	91.07	HTC Desire 12+	female
114614786892991507	58.0	244.51	iPhone SE (A1723)	male
114616985916247929	36.0	92.03	iPhone 6 (A1586)	female
114645494812227162	-1.0	26.0	UNKNOWN	
1146496903765669835				
114716868399515326				
1147652734155032691	37.0	162.16	CPH1823	male
1147659331224801957	33.0	256.35	iPhone 7 (A1778)	male
1147744216651362707	55.0	90.93	PORSCHE DESIGN Mate 10	male
1147883242872535309	49.0	16.97	1606	male
1148192803921812638				
1148628462241235293	40.0	13.33	1613	male
1148776997813272989	28.0	56.07	Blade A520	female
1148887292756527815				
1149235576420393788	28.0	110.18	Apple iPhone XS	male
1149254821365256807	51.0	22.95	A3s	male
1149647902326518352	21.0	7.13	V7	male
1150149218560824347				
1150216216375112158	55.0	43.5	nova 3i	male
1150580956651579412	38.0	249.7	SM-N960F DS	female
1150629112132032193	56.0	93.33	HONOR 8 Lite	female
1151153135562372353				
1151439029525365187	51.0	149.34	N7100	male
1152022505044012145	70.0	194.34	CPH1969	male
1152024704067268567	35.0	174.16	Xperia XA2 Ultra	male
1152114041378570713	32.0	192.63	iPhone 6	male
115219133720816251				
1152239565531975829	22.0	21.7	SM-G532G DS	male
1152331583027959325				
1153014264532469242	40.0	262.12	SM-N950F DS	male
1153063797231684872	59.0	98.13	SM-C900F DS	female
1153580262110606262				
1153982178981191581	40.0	44.02	Oppo F11	female
1154198441751043678				
