customer_id	campaign_outcome
7871484634989290498	Neuron electric scooter
4921121108052543753	Neuron electric scooter
k676319749840608847	Not Interested
3466297860792946140	Neuron electric scooter
h247407300886719800	Neuron electric scooter
q265487319052005187	Not Interested
4640689790331784120	GoCar
q719133749082594196	Not Interested
l201120763039108943	Not Interested
3349999890413398583	Not Interested
m723102896516820721	Neuron electric scooter
5999411670836034221	Not Interested
1178239509830428277	Not Interested
3031569347426357592	Not Interested
r521066361500221411	Not Interested
2257295135204011798	Neuron electric scooter
6977774460612347336	Not Interested
l857804659599145854	Neuron electric scooter
2270010910726435347	Not Interested
2637149034803278072	Neuron electric scooter
q333036662375526142	Not Interested
1039339296810628143	Neuron electric scooter
u157501005606503846	Neuron electric scooter
q718722534294306449	Not Interested
1248722288604941635	Neuron electric scooter
h422613729180861643	Neuron electric scooter
r283510919736277411	Not Interested
3599245032915392072	Not Interested
l718785115122561727	Not Interested
z75861102553381188	Not Interested
k616322514981216010	Not Interested
r615891992044926771	Neuron electric scooter
4231046441108889145	Not Interested
k013133821773666964	Neuron electric scooter
152676860173352438	Not Interested
l445437497250387607	Not Interested
z052212854565768555	Not Interested
z266969440133351192	Neuron electric scooter
k306147198324166469	Not Interested
355775869526891565	Not Interested
7244855228045276124	Neuron electric scooter
u52198331100285169	Not Interested
k306276215499643652	Not Interested
r380122267562140436	Not Interested
3010327218057481943	Neuron electric scooter
6591097610592203948	Not Interested
2985389816853786976	Not Interested
q294423395662552011	Not Interested
d151016119786601595	Neuron electric scooter
u720927208719120112	Neuron electric scooter
z151811703858612415	Neuron electric scooter
r108833777107710359	Not Interested
3447366210012701586	Not Interested
3736588197238159180	Not Interested
7022412986296383646	Neuron electric scooter
8196266293564901293	Not Interested
4508557074277841612	Not Interested
6473500210848861157	Not Interested
8264341944828121925	Not Interested
k798494884169541368	Neuron electric scooter
h511480598532380502	Not Interested
563016059597226466	Not Interested
9190788240059632142	Neuron electric scooter
h26914166903426103	Not Interested
4855029703268706551	Not Interested
4339034856710497260	Neuron electric scooter
m14758602424567937	Neuron electric scooter
m210580063744174166	Neuron electric scooter
z547707173249524759	Neuron electric scooter
1132396034789806156	Not Interested
1908296251280466400	Not Interested
m081126233734767074	Neuron electric scooter
l08362032979683882	Not Interested
8513760001124860907	Neuron electric scooter
z31284671575197146	Neuron electric scooter
l002275407626230219	GoCar
m915044363580579972	Not Interested
q178798145585482371	Not Interested
m975572225173080383	Neuron electric scooter
u786725750063463836	Neuron electric scooter
6824814097068669792	Not Interested
q450620723714593265	GoCar
5631044949456200643	Neuron electric scooter
r42654405861974605	Neuron electric scooter
554230923721671206	Neuron electric scooter
4330750664928543446	Neuron electric scooter
5817808347681125577	Not Interested
6745211801621583488	Not Interested
l859995682978770823	Not Interested
q249918138148337485	GoCar
8082719436239656730	Not Interested
4627221652510546029	Not Interested
z041349513518490344	Neuron electric scooter
l373244804982409519	Neuron electric scooter
l608040856396457179	Neuron electric scooter
z149579078126458664	Not Interested
l176928301737250991	Neuron electric scooter
7809403959232208600	Not Interested
h758032916612949106	Neuron electric scooter
4655556635339364220	Neuron electric scooter
1252696179384801759	Not Interested
4659099861658675327	Not Interested
q773384753393813755	Not Interested
4854428202691074482	Neuron electric scooter
l961836860867574648	GoCar
l264960700481744960	Not Interested
q884270401128742632	Not Interested
m98496908749581911	Neuron electric scooter
1532484646914106042	GoCar
2212352182260745113	Neuron electric scooter
l910919915062221921	Not Interested
d47022479719208860	Neuron electric scooter
5237997551411194405	Not Interested
r768704134697819412	Neuron electric scooter
u621947489505864566	Neuron electric scooter
6890641163245595469	Neuron electric scooter
k241869527989260818	Not Interested
z991107083050783191	Not Interested
r709024839905418930	Neuron electric scooter
8897238913598485764	Neuron electric scooter
193491610702530911	Not Interested
3453660984661143596	Neuron electric scooter
7431522462300412079	Neuron electric scooter
u341873543399537866	Neuron electric scooter
247596483590040618	Not Interested
r65706795298432895	Not Interested
d97066109830007706	Neuron electric scooter
l203603343395150978	Not Interested
7108015641193777886	Not Interested
8164413719301745460	Not Interested
h989671664727652712	Not Interested
u218159105515977044	Not Interested
z19899683067085478	Not Interested
l606164649325117724	Neuron electric scooter
3177587772525403307	Neuron electric scooter
r333438398949198815	Neuron electric scooter
z553027561400822125	Not Interested
q187596012254111190	Not Interested
k796129319713515746	Not Interested
z817389772723704909	Not Interested
l760875570930719111	Not Interested
k11515140065464331	Not Interested
h196875283204606780	Neuron electric scooter
6849426837499134299	Not Interested
4333033676902148982	Neuron electric scooter
138743272794485909	Not Interested
4902574364317306447	Neuron electric scooter
h102964728911801717	Not Interested
m130085507773936287	Not Interested
4596479396596288210	Not Interested
l049029145367616423	GoCar
r284364356248800417	Neuron electric scooter
h004382437732605727	Not Interested
u284843986153340546	Not Interested
r368067622771882615	Not Interested
m481312884400358550	Neuron electric scooter
m530762770874847847	Not Interested
3896738203644650507	Neuron electric scooter
h93208701873017877	Neuron electric scooter
29536951124985726	Not Interested
z496390388209957408	Neuron electric scooter
391390843090603559	Not Interested
l946798278996188671	Neuron electric scooter
u255570037748913	Not Interested
z164848034072935777	Neuron electric scooter
2880021689282870528	Not Interested
6404750305510071372	Not Interested
6486498230064512387	Neuron electric scooter
u52649278501340591	Neuron electric scooter
k851052876159649558	Not Interested
3044805154394680035	Not Interested
u58240363629941901	Not Interested
2667359002451968739	Not Interested
u738152673610262037	Neuron electric scooter
7006581424992699609	Neuron electric scooter
2977576831612806740	Not Interested
3664617607113155664	GoCar
u246182958927593221	Not Interested
7974940063314816867	Not Interested
6568641718270854857	Not Interested
8809983641277437912	Not Interested
7075480716744523341	Not Interested
2682957925311196749	Neuron electric scooter
d92038982129497281	Neuron electric scooter
8889213197561680892	Neuron electric scooter
h293878248945339761	Neuron electric scooter
7626064713991263336	Neuron electric scooter
u94920551790899990	Not Interested
100145068625335576	GoCar
6831142369598412102	Neuron electric scooter
d32526807043931906	Neuron electric scooter
8676052471890030684	Not Interested
7822558656391604799	Neuron electric scooter
7917434067318685255	Not Interested
7769033749809006785	Neuron electric scooter
z584585593950471251	Not Interested
k940594286836707489	Neuron electric scooter
988372437762268843	Neuron electric scooter
2203067509531337640	Not Interested
6640816612365423534	Not Interested
l486933114847975905	Not Interested
2808158833365964744	Not Interested
900154819220456139	Not Interested
4557558905522645660	Not Interested
5130409385129345506	Not Interested
2041888007614325850	Neuron electric scooter
m757522487670555840	Not Interested
7587048563227000954	Not Interested
l72150103435822380	Neuron electric scooter
4003441196150829701	Not Interested
l396864502700809164	Neuron electric scooter
1276836891121168541	GoCar
1080200815355458702	Not Interested
6844088153823135383	Not Interested
4702993395054235181	Neuron electric scooter
215488340603411280	Not Interested
q156256417889001854	Not Interested
l940820082692662812	Not Interested
m261698021007603984	Not Interested
5819178749051089818	Not Interested
7705992467422249015	Not Interested
3069822044183228840	Neuron electric scooter
u604216904923381443	Neuron electric scooter
9159561465822672784	Neuron electric scooter
4067220296925965366	Not Interested
1201736975950490698	Neuron electric scooter
k946596865872040234	Neuron electric scooter
k181942246533146414	Neuron electric scooter
7957531241439546431	Neuron electric scooter
z800631402731624580	Not Interested
9009005913354216834	Neuron electric scooter
4964713551150886895	Not Interested
3442440777445503057	Not Interested
8516468170630455997	Neuron electric scooter
k843211042411215796	Neuron electric scooter
h021356475639812787	Not Interested
6738336650072908824	Neuron electric scooter
1753559158767940135	Not Interested
l350255870471587934	Not Interested
u546589714449542269	Neuron electric scooter
7029788828923248081	Neuron electric scooter
5637739851589514602	Neuron electric scooter
5245209080479177825	Not Interested
367272092944100015	Not Interested
7426257277659987524	Not Interested
7944069702109578692	Neuron electric scooter
u364538483780955717	Neuron electric scooter
l657246653088603357	Not Interested
3376740406142243979	Neuron electric scooter
m75352634695197149	Not Interested
3941555384062864467	Neuron electric scooter
r729112651561734403	Not Interested
8180470476357444103	Not Interested
1199715109316556542	Neuron electric scooter
1888777950964012407	Neuron electric scooter
u519769569524401814	Not Interested
z212327687166582544	Not Interested
q907247814249537334	Not Interested
z631241850412221008	Not Interested
2807317811506184964	Not Interested
h510711084877264140	Not Interested
4822198528340085169	Not Interested
r938224665523725440	Neuron electric scooter
d125412258504581524	Not Interested
q349764483654607358	Not Interested
6843227236218435395	Not Interested
5723546483540487536	Neuron electric scooter
z661302525852558040	Not Interested
5784972246865905045	Not Interested
3772523699249035972	Neuron electric scooter
u987311471660081612	Not Interested
4482788885336848792	Not Interested
h910021574663771550	Not Interested
k198244209418282850	Neuron electric scooter
r568615310607671697	Not Interested
r180416842960469902	Not Interested
l803076557375191277	Not Interested
k802144738487833048	Not Interested
u083073418593277700	Not Interested
l834188405273358422	Not Interested
u288605146645197841	Not Interested
k567999938214621475	Neuron electric scooter
7882672895289226301	Not Interested
u797102887298776055	Not Interested
5448762114458966106	Not Interested
3241128985030398031	Not Interested
8299785036522681983	Neuron electric scooter
2574396569128039444	Not Interested
912950599637951394	Not Interested
q068266947590433426	Not Interested
7782199564160321355	Not Interested
u256541253909106184	Neuron electric scooter
m697815021378729243	Not Interested
r559363152700727071	Neuron electric scooter
7689542798021118681	Not Interested
k254062531867021937	Not Interested
q074784123105510732	Neuron electric scooter
d026784029036187312	Not Interested
2669514346773072801	Neuron electric scooter
3460658259713911048	Not Interested
4767151833075850138	Neuron electric scooter
7667862019299731394	Not Interested
h812105698735375331	Neuron electric scooter
2230050099488795456	Neuron electric scooter
6732876468827490849	Neuron electric scooter
10258084199331447	Not Interested
3719481391081045769	Neuron electric scooter
5959924669763075620	Not Interested
1551207442092132914	Neuron electric scooter
5963811356272632544	Neuron electric scooter
r552737225304318220	Not Interested
z872491779323708252	Not Interested
511565250211022410	Neuron electric scooter
h456919487121922475	Not Interested
2358799911876317839	Neuron electric scooter
l621520730225533258	Not Interested
2888442457898574272	Not Interested
r452481841134946880	Not Interested
3792521852549769582	Not Interested
m462468910436303222	Not Interested
2801050994868835847	Not Interested
k753341762333190088	Neuron electric scooter
l220863304867898181	Not Interested
k010252596080060931	Neuron electric scooter
7110927857735332818	Not Interested
7780718609191713425	Neuron electric scooter
h557378422833531275	Not Interested
u457108819411681895	Not Interested
k395206999630930153	Neuron electric scooter
5661531004567804995	Neuron electric scooter
6934994432841818955	Neuron electric scooter
8191366863119517871	Not Interested
3647473083005240473	Not Interested
7677538152417621362	Not Interested
3353928806083284431	Not Interested
2824020719514772450	Not Interested
4232534388817942699	Neuron electric scooter
z511322713398501163	Not Interested
5382243075849184892	Not Interested
6781543503775399970	Neuron electric scooter
3020922724968164009	Not Interested
h775404213988825813	Neuron electric scooter
h326246974829338141	Neuron electric scooter
q245551522715577448	Not Interested
1187893696470519214	Not Interested
2328607571085373594	Not Interested
u697517934952309912	Neuron electric scooter
1207560469925418435	Not Interested
k870778818702856268	Neuron electric scooter
z060833289497145582	Neuron electric scooter
4453761285292095676	Not Interested
186058120635837308	Not Interested
8208439239618750816	Not Interested
6527956769874875548	Not Interested
5480530357630067236	Not Interested
5050618073052007827	Neuron electric scooter
r338405078304853316	Not Interested
l40846542781026986	Not Interested
m30441704670406997	Not Interested
517238129540354151	Not Interested
4960984088949000348	Neuron electric scooter
4978330897659187706	Not Interested
687429329514942250	Not Interested
m524384080718889301	Not Interested
d07011650110440746	Neuron electric scooter
5994192950475652216	Not Interested
m470755487664749445	Not Interested
m841695459107137569	GoCar
h047293257525972524	Not Interested
6539740496485693594	Not Interested
h998398247968559584	Not Interested
k889587017649689527	Neuron electric scooter
5474120611806930786	Neuron electric scooter
6137453681001872520	Not Interested
k211071810866942922	Neuron electric scooter
u18332789473197736	Neuron electric scooter
m018835978614012799	Not Interested
u563375090227522056	Not Interested
r272630751065050680	Not Interested
5645796754285247121	Neuron electric scooter
q506364714965272397	Not Interested
k427739366336036402	Not Interested
1407515001086986537	GoCar
r094748449648015001	Neuron electric scooter
q607512554402577931	Neuron electric scooter
2106762929275202874	Neuron electric scooter
1211982187771941727	Not Interested
1605558000930287237	Not Interested
l04549785247115729	Not Interested
4983338339865888135	Not Interested
4262004002159273089	Neuron electric scooter
q418670310144077646	Neuron electric scooter
3253279034779519300	Not Interested
d15395708422287667	Not Interested
q057350512903141393	Neuron electric scooter
7682221834671793484	Not Interested
z701708321763845137	Neuron electric scooter
q141391961237733735	Not Interested
61489918445708060	Not Interested
1749052685215794984	Not Interested
m19832395389313171	Not Interested
2642268692325647346	Not Interested
4237243433265198667	Not Interested
326837873611367725	Not Interested
2633308112406024031	Neuron electric scooter
q791800783659213834	Not Interested
k269122533828769272	Not Interested
332576224797865584	Neuron electric scooter
m265955668822198744	Neuron electric scooter
2174010734451045658	Not Interested
r580110690828189475	Not Interested
q204645560682257384	Not Interested
6938239810768703857	Not Interested
l198608704952811202	Not Interested
d39880540708251893	Neuron electric scooter
m971395401470949738	Neuron electric scooter
2793495099470626974	Not Interested
r308739809831325565	Not Interested
266874009919577092	Not Interested
7867452993240834803	Neuron electric scooter
u254586322234525476	Not Interested
u965631005836489415	Not Interested
h800368987963916969	Neuron electric scooter
7227901922433455073	Not Interested
d72200745365770200	Not Interested
d160450355866552447	Not Interested
l312204738158166524	Not Interested
7772867410331761745	Not Interested
256060387706010186	Neuron electric scooter
r214838998057183204	Not Interested
4430803641102243535	Neuron electric scooter
6724661213168462913	Neuron electric scooter
r022971914362627639	Neuron electric scooter
8456377073004271277	Not Interested
l900830442853495225	Not Interested
l277287602119285185	Not Interested
1518564326505963854	Neuron electric scooter
6718848222192602923	Not Interested
h788192308177565215	Neuron electric scooter
5048639518836032687	Not Interested
8072913723165602413	Neuron electric scooter
k529368977017336118	Not Interested
5942653498151578684	Neuron electric scooter
1379333307500024238	Not Interested
z054497292448955154	Not Interested
8935832684593223309	Not Interested
973125127940900248	Not Interested
367846263091777951	Not Interested
1950356603028203321	Neuron electric scooter
z742438011038588796	Not Interested
2961539494335484950	Not Interested
8769057785822438904	Not Interested
l9646227498824378	Not Interested
u101917494652539558	Not Interested
7792171948870523291	Neuron electric scooter
u141958206852993986	Not Interested
1149235576420393788	Neuron electric scooter
h672664039524955832	Neuron electric scooter
q366024645192383762	Not Interested
3760102572648231961	Not Interested
r346712610058885228	Not Interested
m232755085193332317	Not Interested
m988271263320013454	Not Interested
d62870038366014655	Not Interested
m918635860254084517	Not Interested
l322189751659687389	Neuron electric scooter
u517378711585477828	Not Interested
z694790700500895897	Not Interested
d71011692210058322	Not Interested
h606604452868800071	Neuron electric scooter
2296908720040300853	Not Interested
6204305297943076495	Neuron electric scooter
u62713143907028171	Not Interested
3512827900237093603	Not Interested
u323409523180368617	Neuron electric scooter
8102656385817463213	Neuron electric scooter
r983779386230446232	Not Interested
m817656635555372590	Not Interested
6228931177089228183	Not Interested
h372375834948214922	Neuron electric scooter
659515664122253624	Not Interested
h815456376376709711	Not Interested
5754195468449676362	Not Interested
4367823155203505488	Not Interested
5898053256511230850	Not Interested
8402225913649778028	Not Interested
5364709558234448077	Not Interested
8854100287377448268	Neuron electric scooter
342340046883851505	Not Interested
m262441657060283865	GoCar
3860117814636201581	Not Interested
q308525173436296863	Neuron electric scooter
q260853821338909515	Neuron electric scooter
5849367724502028318	Neuron electric scooter
l780709543961742493	Neuron electric scooter
6314469559075724895	Not Interested
2349327231482835393	Not Interested
m604524923915736877	Neuron electric scooter
8728986214342085198	Neuron electric scooter
2106841566097922176	Not Interested
3938609305294355157	Not Interested
5786809235687583568	Neuron electric scooter
3443411664766202998	Not Interested
3753433237677314991	Not Interested
q807164579027786250	Not Interested
5945669558823366565	Neuron electric scooter
8725848949977002351	Neuron electric scooter
m770315160518659142	Not Interested
z315123470783563652	Not Interested
4867872444325020511	Not Interested
7749668145658556497	GoCar
853084682739606251	Neuron electric scooter
u024123788634144845	Not Interested
k583389501486818054	Neuron electric scooter
7986722371411636176	Not Interested
5136714722481032400	Neuron electric scooter
m365720060511348300	Neuron electric scooter
6618965555319998815	Neuron electric scooter
617600962932116766	Neuron electric scooter
8246368036905720011	Neuron electric scooter
6158758592361207220	Not Interested
r260904234994954269	GoCar
m255441198652749224	Not Interested
q378544217094170164	Not Interested
u838981398567123339	Neuron electric scooter
z544038663267695970	Not Interested
u293273618090295370	Not Interested
1666476148158376498	Neuron electric scooter
m669317640556419004	Not Interested
3800672525126567094	Not Interested
5179019964453651927	Not Interested
5843094948048283928	Neuron electric scooter
3942680185125828589	Not Interested
2149458052316320264	Neuron electric scooter
h662359278571677971	Neuron electric scooter
m483530496472423852	Not Interested
6717287572690374783	Neuron electric scooter
7135912395882499115	Neuron electric scooter
2627557020399019843	Neuron electric scooter
5362416980176354593	Not Interested
k405640468699540007	Not Interested
q720122210036166660	Not Interested
65184648586976342	Neuron electric scooter
6583417510110600229	Neuron electric scooter
l730724943059494043	GoCar
l878171932433193717	Not Interested
5511195245967405768	Not Interested
q427567328868281745	Not Interested
6701187139161169848	Neuron electric scooter
k46892513821771182	Not Interested
8519396238085200284	Not Interested
k395822154869102077	Not Interested
d022494099605371368	Neuron electric scooter
u04193813572351839	Neuron electric scooter
2956012728009085890	Neuron electric scooter
3598041402866284531	Not Interested
r274669113120587715	Not Interested
6748475303837088438	Neuron electric scooter
z761902464849108255	Not Interested
m899573303095959850	Not Interested
2055799654637150772	Not Interested
r750806837315079955	Not Interested
6764357445540162307	Neuron electric scooter
683024643885855697	Neuron electric scooter
4318362467415950034	Not Interested
7495283109415859495	Not Interested
r841762397511998492	Not Interested
u00434252848428149	Neuron electric scooter
2990155602490592771	Neuron electric scooter
2336854713062877719	Neuron electric scooter
l005601525150236561	Not Interested
k58072742957234724	Not Interested
4519645050152092594	Not Interested
5039954273962162007	Not Interested
q038906568694160885	Not Interested
4639182124636695381	Not Interested
u84087710819663091	Neuron electric scooter
3558905364620152069	Not Interested
u331953905648491017	Not Interested
6388930001250256228	Not Interested
2075188309610109244	Not Interested
5144704304745444677	Not Interested
5150239396538730089	Neuron electric scooter
4659765474682388160	Not Interested
r416830969220764174	Not Interested
9119533223175957703	Not Interested
1145244949959315397	Neuron electric scooter
7926509484550066321	Not Interested
7203127458702535545	Neuron electric scooter
3638458489732177269	Neuron electric scooter
373873854754736179	Neuron electric scooter
r03521568379739496	Not Interested
3069195133456423623	Not Interested
m237336363806338773	Neuron electric scooter
l497219164030708521	Neuron electric scooter
1724276333292638484	Not Interested
5909286361823828237	Not Interested
4392681528841939760	Neuron electric scooter
l37056458141743896	Not Interested
9132433606631710914	Neuron electric scooter
4292942396945862820	Not Interested
r760802483517159168	Not Interested
u248084594501498450	Neuron electric scooter
3624760932331649096	Neuron electric scooter
7775279325482588979	Neuron electric scooter
m978426666910967796	Not Interested
7715895212569053340	Not Interested
u397461013628690590	Not Interested
2533456896263408406	Not Interested
985919948691394768	Not Interested
7333893112413078692	Not Interested
r530078591501094209	Not Interested
5203106615669531005	Not Interested
q124682775332905513	Neuron electric scooter
1410987917654845601	Not Interested
6299412209572612108	Neuron electric scooter
k140318623474177860	Neuron electric scooter
h174506246793828711	Not Interested
u629846350114226489	Neuron electric scooter
4910196976296577506	Not Interested
m530053849248003660	Neuron electric scooter
3054806608491326914	Not Interested
z486294241533867105	Not Interested
z038895891759971325	Neuron electric scooter
4771385575279300852	Not Interested
h011522767390425481	Not Interested
9048734438317947809	Not Interested
z242809067487151662	Not Interested
r695939752904081993	Not Interested
k161327451753657378	Neuron electric scooter
6762871624642506620	GoCar
2951154330874087407	Neuron electric scooter
z944033650363438123	Neuron electric scooter
4752159783662254843	Not Interested
q146773370724975484	Not Interested
q888622255777380351	Not Interested
5556651066152445237	Not Interested
l03981843319629861	Neuron electric scooter
r89269435530763670	Not Interested
k766210981410011047	Not Interested
7308101195370429109	Not Interested
z819562823568879611	Neuron electric scooter
l587218576702767192	Not Interested
r415861746260197952	Neuron electric scooter
q452745769669003799	Not Interested
q97669443933219259	Neuron electric scooter
4848212602910981608	Not Interested
2556929004822161531	Not Interested
5953121695118895423	Not Interested
4740477668596979649	Neuron electric scooter
6934567638166172834	Neuron electric scooter
m235136728580068109	Not Interested
k186078535327435892	Not Interested
2361458325486213498	Neuron electric scooter
3735391267837014748	Not Interested
l399188850031774363	Not Interested
3736163065820243528	Not Interested
5563262148274084339	Not Interested
q14040354528678542	Neuron electric scooter
3058132591282096261	Neuron electric scooter
r924478956810581834	Neuron electric scooter
9015790451349559837	Not Interested
3901456696126491044	Neuron electric scooter
9001351969928450359	Not Interested
4234528672839062618	Not Interested
7225717371209652656	Neuron electric scooter
r050571116707513787	Neuron electric scooter
r858221023833248983	Not Interested
3894692256425541727	Not Interested
u361165570655097492	Neuron electric scooter
2228610578248737330	Not Interested
z095429993639625664	Neuron electric scooter
q02636971391152301	Not Interested
3170134593027430086	Not Interested
2742214396499002944	Neuron electric scooter
u9762465356546024	Not Interested
1414984324182264638	Not Interested
674045122636735803	Neuron electric scooter
u205960809233852015	Neuron electric scooter
4351304856836215144	Neuron electric scooter
1212141103745338001	Not Interested
4596724241208860215	Not Interested
h257971430482068710	Neuron electric scooter
5333501186190154486	Not Interested
u416449690477420261	Not Interested
7123112620337181835	Not Interested
7776138745488868019	Neuron electric scooter
5895431965033842252	Not Interested
6461361298587962695	Not Interested
7912748557002894652	Not Interested
z538944672948014880	Neuron electric scooter
1335493672214894469	Not Interested
2368720482038271724	Neuron electric scooter
z011515185068411970	Neuron electric scooter
q918474969188620268	Not Interested
1800179927664499384	Not Interested
952730413139150894	Not Interested
h660817991264832863	Not Interested
445349062067267621	Not Interested
3043132006320253323	Not Interested
m789528998881891405	Neuron electric scooter
r101401796564988233	Neuron electric scooter
l195982846061592718	Neuron electric scooter
7011907871668658979	Not Interested
r724186773533301941	Not Interested
q144249354326030615	Not Interested
409861670672621023	Not Interested
h938463155168488260	Neuron electric scooter
3163114098061774325	GoCar
5632551503830768082	Not Interested
