MerchantCode	MerchantName	MerchantCategory	grid_id
022gi1cn580a	Retail Individual 69	Retail	177375.0
022r9l2c1a0	F&B Chain 40	F&B	171051.0
022tc192iy0	F&B Chain 47	F&B	159817.0
0251l0l053c	Retail Chain 38	Retail	168252.0
025cpo2su800	F&B Chain 10	F&B	164735.0
025ct01350	Retail Chain 38	Retail	169654.0
0271cag00ns8	Household Goods and Groceries Chain 6	Household Goods and Groceries	162634.0
0280h2b8id3	Services Individual 54	Services	175968.0
028rc7010atl	F&B Chain 26	F&B	174565.0
0291hc202st	F&B Chain 40	F&B	169638.0
029t0a8rn2i6	F&B Individual 201	F&B	170358.0
02bu2i29i10	F&B Individual 402	F&B	171753.0
02c100553ha	Household Goods and Groceries Chain 4	Household Goods and Groceries	175972.0
02c8n107pa0g	Retail Chain 22	Retail	176669.0
02ca50fc1e70	F&B Individual 79	F&B	161922.0
02g2n9i1o20	F&B Individual 282	F&B	176678.0
02gh21iwo092	F&B Individual 393	F&B	177374.0
02gw7n1800ca	F&B Chain 39	F&B	175262.0
02hio1521s0p	F&B Chain 77	F&B	163337.0
02il40l0a96i	F&B Individual 387	F&B	173169.0
02l01m0i0i4	Services Individual 82	Services	175972.0
02l1m0a870cl	F&B Chain 18	F&B	164742.0
02l9i0l22i1	F&B Individual 152	F&B	169638.0
02o2g2910cn	Retail Chain 19	Retail	161929.0
02oi0w2n921	F&B Individual 222	F&B	173869.0
02otr83cs870	F&B Individual 59	F&B	173870.0
02r8lca7t010	F&B Chain 37	F&B	166146.0
02t2p9c210ot	F&B Individual 5	F&B	161923.0
02t8a1rc070l	Services Chain 9	Services	170359.0
02ya90221pc	F&B Chain 9	F&B	171058.0
02yt7c8001a	F&B Individual 40	F&B	171745.0
0305bn1c5b0	Household Goods and Groceries Chain 4	Household Goods and Groceries	171055.0
0305c125s0s	Retail Chain 38	Retail	175975.0
030p551ecw0	Retail Chain 30	Retail	159820.0
031029nc5a0	Retail Individual 4	Retail	172463.0
031l106cmk3	Household Goods and Groceries Chain 1	Household Goods and Groceries	171057.0
0330d0c2h5b	Services Individual 14	Services	171765.0
0350jyaca501	Household Goods and Groceries Chain 4	Household Goods and Groceries	168236.0
0350sr01c5ae	Household Goods and Groceries Chain 4	Household Goods and Groceries	176668.0
035ac503013	Retail Chain 38	Retail	164037.0
035j1y05caa0	Household Goods and Groceries Chain 4	Household Goods and Groceries	170351.0
03637racsa01	Retail Chain 14	Retail	163328.0
036i37012	Services Individual 134	Services	175970.0
0393rie3t3o0	Retail Individual 285	Retail	169646.0
03cdbh08515	Services Individual 23	Services	171766.0
03chin5880e8	F&B Individual 159	F&B	167550.0
03e8005ti3t	F&B Individual 333	F&B	171760.0
03m3csae0611	Household Goods and Groceries Chain 1	Household Goods and Groceries	172459.0
03n6509diu0a	Retail Individual 236	Retail	172450.0
03uk155t0uc0	Retail Chain 12	Retail	173871.0
03w0c54h2ce5	Household Goods and Groceries Individual 13	Household Goods and Groceries	171055.0
03w5c00p51e	Retail Chain 30	Retail	166834.0
0407i8bl6ei2	Services Individual 36	Services	166146.0
0408kwco414k	Retail Individual 49	Retail	169663.0
040hc3d30b2	F&B Individual 115	F&B	177381.0
040k3ngi66i5	F&B Individual 158	F&B	163337.0
040kni316i4l	Services Individual 73	Services	159822.0
042ei08ric58	F&B Individual 214	F&B	164733.0
042ic0si89u6	Services Individual 49	Services	161231.0
042ih0b207d	Retail Individual 175	Retail	173856.0
043rt177ac0	Services Chain 3	Services	161222.0
0443o09uecs1	Household Goods and Groceries Chain 3	Household Goods and Groceries	160527.0
046cil0m8u86	Services Chain 4	Services	162628.0
0487c069acii	F&B Individual 2	F&B	165438.0
04ii6s1p503i	F&B Individual 340	F&B	170358.0
04�04acn560s	Retail Individual 29	Retail	166851.0
05!24at0ie44	F&B Individual 306	F&B	166134.0
05003cer1t5n	Retail Chain 6	Retail	172454.0
0500acr3a5p1	Retail Chain 38	Retail	163324.0
050150i3rsie	Transit & Travel Chain 2	Transit & Travel	171756.0
0501c3p05ew	Retail Chain 30	Retail	162634.0
0503a525it6	F&B Individual 237	F&B	167545.0
050a1ca50sr3	Household Goods and Groceries Chain 4	Household Goods and Groceries	168949.0
050p30ak5ca1	Household Goods and Groceries Chain 4	Household Goods and Groceries	178773.0
05105ka30rce	Retail Chain 38	Retail	170348.0
0515k30hd0c	Household Goods and Groceries Chain 9	Household Goods and Groceries	168956.0
051ae053r0uc	F&B Chain 8	F&B	178073.0
051c05w3ep0	Retail Individual 3	Retail	164036.0
051h3c0b05d	Transit & Travel Chain 1	Transit & Travel	171748.0
051o03tbac05	Retail Chain 33	Retail	168244.0
05300eck1r5t	Household Goods and Groceries Chain 7	Household Goods and Groceries	162628.0
0535pl100cj	Household Goods and Groceries Chain 4	Household Goods and Groceries	169646.0
0535ticon001	Retail Chain 38	Retail	173167.0
053scgd100n5	Household Goods and Groceries Chain 4	Household Goods and Groceries	170342.0
053w0ce50p1	F&B Chain 29	F&B	174567.0
055pu30m10cr	Retail Individual 59	Retail	165432.0
05616c3s081	Retail Individual 16	Retail	177381.0
058oin310gc1	F&B Individual 103	F&B	162627.0
05a380465c	Services Chain 1	Services	168955.0
05c03re51a0u	Retail Chain 38	Retail	171767.0
05c3o0a5s01s	Household Goods and Groceries Chain 4	Household Goods and Groceries	178070.0
05cge301h0a5	Household Goods and Groceries Chain 4	Household Goods and Groceries	168959.0
05d301pcu5u0	Household Goods and Groceries Chain 4	Household Goods and Groceries	168243.0
05e0l30c15du	Retail Chain 38	Retail	166834.0
05g3n0ro051c	Retail Individual 58	Retail	166149.0
05h31caat005	Retail Chain 38	Retail	176678.0
05ic0d34303	Retail Individual 20	Retail	162631.0
05l0ika5130b	Retail Individual 82	Retail	171061.0
05l350sec01	Household Goods and Groceries Chain 9	Household Goods and Groceries	170356.0
05lce501s30	Household Goods and Groceries Chain 9	Household Goods and Groceries	174563.0
05lm0c15a3l0	Retail Chain 38	Retail	171761.0
05no3105pig0	Retail Individual 267	Retail	168958.0
05r0um305pc1	Services Individual 7	Services	170342.0
05red05i13a0	Transit & Travel Chain 2	Transit & Travel	169648.0
05taci050r31	Retail Chain 38	Retail	170345.0
05tcc3iy0510	Retail Chain 38	Retail	166835.0
05w3e0p5c10	Retail Chain 30	Retail	176668.0
05wki585_30e	F&B Individual 375	F&B	164738.0
060h190bd_c0	Services Individual 5	Services	175260.0
060n2gr00ii1	F&B Individual 363	F&B	166140.0
060sp338u1co	F&B Chain 5	F&B	166138.0
061n020igi7r	F&B Individual 133	F&B	161231.0
062o0c1c20m	Retail Individual 25	Retail	164737.0
065lbi3094a	Services Individual 135	Services	164035.0
06a0i1mt620r	Household Goods and Groceries Individual 50	Household Goods and Groceries	172458.0
06c38ops031u	F&B Chain 5	F&B	168253.0
06ni2g0781gi	Household Goods and Groceries Individual 46	Household Goods and Groceries	170356.0
06rw2e7a16i0	Retail Individual 262	Retail	172447.0
071e03nd63ir	F&B Individual 164	F&B	161927.0
071el0l20y8c	F&B Chain 35	F&B	166834.0
076e1cr30as3	Retail Chain 14	Retail	163327.0
077e458osc0u	F&B Individual 63	F&B	159825.0
078klc2c10c0	Household Goods and Groceries Chain 5	Household Goods and Groceries	170353.0
079e05m0c6ak	F&B Chain 61	F&B	173152.0
07erm8i3055s	Retail Individual 300	Retail	159824.0
07hi9d032b0	Services Individual 127	Services	161232.0
07kc15013s6	Retail Individual 13	Retail	174572.0
07l821a0ctr0	F&B Individual 42	F&B	172465.0
07o704c9neg3	F&B Individual 88	F&B	166131.0
07rc64ay5p80	Retail Individual 21	Retail	168945.0
07t019al2c5r	Retail Chain 4	Retail	172453.0
080i71c02cmb	F&B Chain 20	F&B	161933.0
080im0yc66a6	Retail Individual 81	Retail	167544.0
080o06nio4l0	Services Individual 121	Services	160523.0
0810n27el0cg	F&B Chain 26	F&B	165446.0
085i4o024nla	Retail Individual 76	Retail	169657.0
085y5m0g_0i3	Services Individual 111	Services	164737.0
08704id2e0sa	F&B Individual 184	F&B	174563.0
088i90n4ce0a	Retail Individual 134	Retail	162631.0
0890i412ecvc	Services Individual 24	Services	171750.0
08ea20c107kn	F&B Chain 18	F&B	172461.0
08ecnt1r0406	F&B Chain 30	F&B	168239.0
08m12700alcl	Retail Chain 32	Retail	162623.0
08r1s0a27ce0	F&B Chain 60	F&B	175258.0
0902a2f2ci1e	F&B Individual 259	F&B	169662.0
090300rv6eiy	F&B Individual 419	F&B	175976.0
09044cm10gy	Services Chain 6	Services	167541.0
090ib7364qb	F&B Individual 314	F&B	167549.0
091ara022c2	F&B Chain 7	F&B	165438.0
092it0iy212	F&B Individual 301	F&B	174564.0
099ery80c03	Services Individual 17	Services	175272.0
09anc09t32r3	F&B Individual 116	F&B	178074.0
09dcb53080n	Services Individual 18	Services	171761.0
09h1u220i2a	Retail Individual 170	Retail	168960.0
09i01ig22n2	F&B Individual 334	F&B	169643.0
09s57cxue006	F&B Chain 61	F&B	170351.0
0a04kiem0303	Retail Individual 182	Retail	164026.0
0a09c0166emg	Services Individual 16	Services	169660.0
0a0alc72180m	F&B Chain 18	F&B	172462.0
0a0c8m02ll71	F&B Chain 26	F&B	177378.0
0a0i4em6s600	F&B Individual 344	F&B	175968.0
0a106j7y3c3a	Retail Chain 14	Retail	167549.0
0a10ja0y728c	Retail Individual 31	Retail	171054.0
0a13213c6i0	Household Goods and Groceries Chain 1	Household Goods and Groceries	172467.0
0a212c29gr0	F&B Individual 105	F&B	174566.0
0a27h8c0w01y	F&B Chain 18	F&B	166843.0
0a3100acl55m	Household Goods and Groceries Chain 4	Household Goods and Groceries	172461.0
0a3b5c100n5g	Retail Chain 38	Retail	176674.0
0a40f0c0e65i	F&B Individual 307	F&B	172450.0
0a512mr80io8	F&B Individual 140	F&B	172468.0
0a5acm1j0035	Household Goods and Groceries Chain 7	Household Goods and Groceries	164741.0
0a651cllm046	Retail Chain 7	Retail	167545.0
0a75z395ai0	Services Individual 50	Services	174563.0
0a8i5cf038e0	F&B Individual 371	F&B	175273.0
0acu8010re27	F&B Chain 38	F&B	161928.0
0ad2c22901h	F&B Chain 41	F&B	176674.0
0aef71208c0c	F&B Individual 48	F&B	168941.0
0aeu2010r7c8	F&B Chain 26	F&B	167554.0
0ahb00e1i562	Retail Individual 97	Retail	168252.0
0aiy370753ut	Retail Individual 93	Retail	162623.0
0am50a5c310n	Retail Chain 38	Retail	163328.0
0an3050t5l1c	Household Goods and Groceries Chain 4	Household Goods and Groceries	162623.0
0antc02801g7	F&B Individual 41	F&B	171057.0
0awy10i0334	F&B Chain 76	F&B	164029.0
0b00541cd8h	Household Goods and Groceries Individual 14	Household Goods and Groceries	168948.0
0b26d2i00h4	Services Individual 132	Services	175271.0
0b3i03ius212	F&B Individual 346	F&B	172457.0
0b5010ct3a5a	Household Goods and Groceries Chain 4	Household Goods and Groceries	166142.0
0bd3550i01h	Transit & Travel Chain 2	Transit & Travel	165435.0
0c003rh5o5e1	Household Goods and Groceries Chain 4	Household Goods and Groceries	164030.0
0c0130s55el	Household Goods and Groceries Chain 9	Household Goods and Groceries	171762.0
0c03c55a01ed	Household Goods and Groceries Chain 4	Household Goods and Groceries	164734.0
0c0550sh31j	Household Goods and Groceries Chain 7	Household Goods and Groceries	166146.0
0c05ok5c103l	Retail Chain 38	Retail	173859.0
0c0d096t5ti7	F&B Chain 61	F&B	168245.0
0c0t103k55oa	Household Goods and Groceries Chain 4	Household Goods and Groceries	166144.0
0c1060t5970	F&B Chain 61	F&B	175269.0
0c1k3n5a050a	Retail Chain 38	Retail	167536.0
0c28alt070r1	F&B Chain 33	F&B	176679.0
0c2922ch01n	Services Chain 14	Services	164740.0
0c30s50n15	Household Goods and Groceries Chain 9	Household Goods and Groceries	161228.0
0c315150i10	Household Goods and Groceries Chain 4	Household Goods and Groceries	164029.0
0c3o4u1008t	F&B Individual 94	F&B	174556.0
0c3r51m0i5u0	Household Goods and Groceries Chain 7	Household Goods and Groceries	168251.0
0c441ae088t	F&B Individual 53	F&B	166151.0
0c76se247d0a	Retail Individual 35	Retail	172453.0
0c930b73qb6	F&B Chain 43	F&B	168240.0
0ca22l902l1	F&B Chain 41	F&B	162633.0
0cgn01ja7280	F&B Chain 26	F&B	175276.0
0cl9ye22021	Retail Chain 10	Retail	172466.0
0cr0l1553t0a	Household Goods and Groceries Chain 7	Household Goods and Groceries	170357.0
0cr53510ent0	Retail Chain 6	Retail	177376.0
0cuar092221	F&B Chain 40	F&B	171759.0
0cy48t6100a	F&B Chain 30	F&B	164737.0
0d32b658hi0	Services Individual 148	Services	171059.0
0de662c30sl3	F&B Chain 2	F&B	178075.0
0di7021s08na	F&B Individual 299	F&B	175271.0
0dui06r13c31	Household Goods and Groceries Chain 1	Household Goods and Groceries	166147.0
0e01027r8sac	Retail Chain 24	Retail	166850.0
0e0c53s10ii5	Transit & Travel Chain 2	Transit & Travel	166140.0
0e1ce8003m0	F&B Chain 51	F&B	174572.0
0e2i70f5c0a7	F&B Individual 219	F&B	172449.0
0e38lsi02i39	Retail Individual 237	Retail	165435.0
0e3c0fi30a61	F&B Individual 265	F&B	171065.0
0e4ri5sp0684	F&B Individual 377	F&B	178069.0
0e8yc700l1l2	F&B Individual 44	F&B	174565.0
0eir040s720i	Retail Individual 102	Retail	169646.0
0g0wn12a7c08	F&B Chain 16	F&B	177365.0
0g135t05ca0n	Household Goods and Groceries Chain 4	Household Goods and Groceries	169654.0
0g7g8i2c001n	F&B Chain 26	F&B	171754.0
0g8da07n012c	F&B Individual 3	F&B	175265.0
0gai012292n	Retail Individual 162	Retail	174562.0
0h003nie79c6	F&B Individual 278	F&B	164738.0
0h30a40r2c3i	Retail Individual 63	Retail	175266.0
0hlo21229c0	F&B Chain 41	F&B	168958.0
0hn5370oi05i	Retail Individual 245	Retail	164732.0
0hr701o5o60c	F&B Individual 84	F&B	167533.0
0i010r5lc5u3	Household Goods and Groceries Chain 4	Household Goods and Groceries	176667.0
0i0292212ss	F&B Individual 176	F&B	163334.0
0i05315ymbm0	Retail Individual 226	Retail	164743.0
0i0t5664t4el	Retail Individual 156	Retail	170341.0
0i0u55103lca	Household Goods and Groceries Chain 4	Household Goods and Groceries	168252.0
0i15i09d6na4	Retail Individual 87	Retail	165428.0
0i1aamc50053	Retail Chain 12	Retail	170364.0
0i202y921kl	Retail Chain 2	Retail	173873.0
0i36i0007tsl	F&B Chain 73	F&B	167542.0
0i5031lma0c5	Household Goods and Groceries Chain 4	Household Goods and Groceries	161229.0
0i50u42od9i0	Retail Individual 303	Retail	172468.0
0i560it22ma8	F&B Individual 283	F&B	171058.0
0i584on0i17s	Retail Individual 183	Retail	167534.0
0i8055auyt62	Retail Individual 265	Retail	172453.0
0i82n9t4a0i6	Retail Individual 191	Retail	166850.0
0i8n16r0t22a	F&B Individual 349	F&B	163328.0
0i912n2ng20i	F&B Individual 404	F&B	167548.0
0ian7i10816	F&B Individual 238	F&B	176669.0
0icse3903n49	F&B Chain 49	F&B	176671.0
0ieac631010f	F&B Individual 271	F&B	164731.0
0ii2432o70du	Retail Chain 43	Retail	166850.0
0ila0ic15035	Retail Chain 38	Retail	175268.0
0ip50w5103e	Retail Individual 80	Retail	161222.0
0ir1ea07034c	Services Individual 122	Services	174560.0
0is504_9u8m4	F&B Individual 224	F&B	173166.0
0j6iu0a4m626	F&B Individual 343	F&B	168239.0
0kc1gi09a018	F&B Individual 37	F&B	176673.0
0ki230co941p	Services Individual 21	Services	172458.0
0kilc04s1361	F&B Individual 221	F&B	168950.0
0kiop13r6038	F&B Chain 5	F&B	169643.0
0kl0c2292y1	F&B Chain 56	F&B	173870.0
0l0690cyl57e	F&B Chain 61	F&B	175266.0
0l0caa08m712	F&B Chain 38	F&B	169656.0
0l178li5c09e	F&B Individual 81	F&B	173852.0
0l250960c7a	F&B Chain 61	F&B	171759.0
0l50c30l1ey5	F&B Chain 4	F&B	173151.0
0l7i3r3u0i61	Retail Individual 99	Retail	171056.0
0la02c80m71l	F&B Chain 44	F&B	171064.0
0lc3a0ml0551	Retail Chain 38	Retail	168941.0
0li09a195l3	Retail Individual 167	Retail	167555.0
0ll0m72c180a	F&B Chain 60	F&B	173167.0
0m0c01all553	Retail Chain 38	Retail	160525.0
0mc310l0aa55	Retail Chain 38	Retail	166147.0
0mi1035m5v0	Retail Individual 224	Retail	170346.0
0ml31505a0cl	Retail Chain 38	Retail	168239.0
0n00r1e49cd0	Retail Individual 41	Retail	161228.0
0n022i1i9ag2	F&B Individual 353	F&B	164027.0
0n0c0948s2ci	Retail Chain 5	Retail	173163.0
0n0e72g9iu07	Retail Individual 130	Retail	170352.0
0n1c0t355ul0	Household Goods and Groceries Chain 4	Household Goods and Groceries	171065.0
0n22e9i0s21s	Retail Individual 305	Retail	164041.0
0n2k1t029i2	F&B Individual 246	F&B	159825.0
0n503gc10a5l	Household Goods and Groceries Chain 4	Household Goods and Groceries	178070.0
0n5g312c005	Household Goods and Groceries Chain 4	Household Goods and Groceries	170347.0
0n8094w0co2t	Retail Chain 5	Retail	173872.0
0n8bcm40037	F&B Individual 18	F&B	169663.0
0nd76c00g94i	F&B Individual 30	F&B	159823.0
0nh153c50ga0	Household Goods and Groceries Chain 4	Household Goods and Groceries	159822.0
0ni0o0c1l535	F&B Chain 8	F&B	176669.0
0o005i5abb88	F&B Individual 180	F&B	169642.0
0o111w4i03sl	F&B Individual 147	F&B	176664.0
0o334nz46ri0	Retail Individual 131	Retail	171763.0
0o3iiu25022d	Retail Chain 45	Retail	175961.0
0o8390scn55d	F&B Individual 114	F&B	164727.0
0od9i105ui02	Services Individual 77	Services	166137.0
0od9iiu01736	Services Individual 33	Services	165437.0
0oi0cn4066t3	Services Chain 12	Services	164039.0
0oik9305i34s	F&B Chain 69	F&B	171757.0
0oil26e0234d	F&B Individual 199	F&B	159823.0
0p0035r51kc	Household Goods and Groceries Chain 9	Household Goods and Groceries	166138.0
0p3wc1500e5	Retail Chain 30	Retail	168945.0
0p50501e3iw	Retail Individual 219	Retail	175273.0
0pi28_0i942o	Services Individual 117	Services	166839.0
0q00475h6c	Household Goods and Groceries Chain 2	Household Goods and Groceries	165443.0
0r050t15e3in	Household Goods and Groceries Individual 23	Household Goods and Groceries	171047.0
0r0ac2108ar7	Retail Chain 24	Retail	161926.0
0r0cil07812u	F&B Chain 39	F&B	159822.0
0r0h15c53j0	Household Goods and Groceries Chain 9	Household Goods and Groceries	172458.0
0r0s10ac535a	Retail Chain 38	Retail	163334.0
0r205at4i55a	Retail Individual 205	Retail	173151.0
0r32e5wi09a7	Household Goods and Groceries Chain 13	Household Goods and Groceries	170352.0
0r43c5al05a4	F&B Chain 65	F&B	166147.0
0r4r622n4ei0	F&B Chain 72	F&B	174567.0
0r5d1o5a0c30	F&B Individual 1	F&B	162629.0
0r7ec801n02t	F&B Chain 26	F&B	177378.0
0r8s48i02ei7	Household Goods and Groceries Individual 32	Household Goods and Groceries	167550.0
0rak912c022	F&B Chain 41	F&B	166832.0
0rc503k5p01	Household Goods and Groceries Chain 9	Household Goods and Groceries	173865.0
0ri322s7eh40	Services Individual 59	Services	167545.0
0rt0c10la535	Retail Chain 29	Retail	174559.0
0s03de1a505c	Household Goods and Groceries Chain 4	Household Goods and Groceries	170343.0
0s1n9eic0257	Retail Individual 116	Retail	174572.0
0s2e021i29ad	Retail Individual 287	Retail	174566.0
0s51i5030rp	Retail Individual 276	Retail	168953.0
0s530cs15q0	Retail Chain 29	Retail	169641.0
0sg02a291r2i	F&B Individual 206	F&B	178077.0
0si30015b5	Transit & Travel Individual 13	Transit & Travel	159118.0
0sl10c5305e	Household Goods and Groceries Chain 9	Household Goods and Groceries	176673.0
0sni47220i2g	Retail Individual 172	Retail	166149.0
0t00r5a5a31c	Household Goods and Groceries Chain 4	Household Goods and Groceries	174572.0
0t01505maac3	Retail Chain 38	Retail	171761.0
0tb5c0s1035	Household Goods and Groceries Chain 7	Household Goods and Groceries	161225.0
0tns0a36308i	F&B Individual 266	F&B	169659.0
0u03rmi515c0	Household Goods and Groceries Chain 7	Household Goods and Groceries	170346.0
0ua1033b1c6r	Household Goods and Groceries Chain 1	Household Goods and Groceries	176674.0
0uc7820t10da	Retail Chain 9	Retail	171055.0
0uie92s45o04	F&B Individual 234	F&B	164031.0
0uq07ei1i540	Retail Chain 41	Retail	164732.0
0w03bl0o32i7	F&B Individual 188	F&B	174563.0
0w1p55003ei	Retail Individual 280	Retail	174564.0
0w1y5nc305a0	Household Goods and Groceries Chain 4	Household Goods and Groceries	168955.0
0w3cn00o1t55	Household Goods and Groceries Chain 4	Household Goods and Groceries	173159.0
0y0219am43ie	F&B Individual 279	F&B	171745.0
0y035a5ac01	Household Goods and Groceries Chain 4	Household Goods and Groceries	174573.0
0y2190ct22i	Services Chain 13	Services	171762.0
0y292re210c	Retail Chain 39	Retail	159818.0
0y6_rie35250	F&B Chain 70	F&B	168236.0
0y97u0603ac	Household Goods and Groceries Individual 5	Household Goods and Groceries	164041.0
1003515n06c	Household Goods and Groceries Chain 4	Household Goods and Groceries	174563.0
1003t0si55iy	Retail Chain 21	Retail	171754.0
1007at05i_e5	F&B Individual 223	F&B	163324.0
100e0100srii	F&B Individual 397	F&B	171046.0
100fia476c8e	F&B Individual 345	F&B	172453.0
1010hfs26i0i	F&B Individual 127	F&B	173168.0
102ir12ot0e0	F&B Individual 131	F&B	174572.0
10350tn5i0e	Transit & Travel Individual 12	Transit & Travel	171748.0
103ac1e2r0c3	Retail Chain 15	Retail	171044.0
103ay500jac5	Household Goods and Groceries Chain 4	Household Goods and Groceries	173150.0
103k50l05ce	Household Goods and Groceries Chain 9	Household Goods and Groceries	168248.0
103l50co50k	Retail Chain 38	Retail	172464.0
10500c1351t	Household Goods and Groceries Chain 4	Household Goods and Groceries	168949.0
1050gt0in5a3	Retail Individual 111	Retail	162624.0
10527v0m9i	Retail Chain 46	Retail	178074.0
